      57,  57, Concept of Wrap Widget in Flutter | Widget Tutorial🔥                                         , https://www.youtube.com/watch?v=cIQ44oBlUA4, Misc / Other                 ,       12, Optional / Skip
      60,  60, Flutter Icon Widgets - Explained | Widget Tutorial                                            , https://www.youtube.com/watch?v=W3BeEx2fiHw, Misc / Other                 ,       12, Optional / Skip
      61,  61, Flutter Font Awesome Icons Tutorial [Hindi] 🔥                                                , https://www.youtube.com/watch?v=GfFzcnG0sRs, Misc / Other                 ,       12, Optional / Skip
      62,  62, Positioned Widget क्या है? | Flutter Widget Tutorial🔥                                          , https://www.youtube.com/watch?v=oWGWeH3Rle8, Misc / Other                 ,       12, Optional / Skip
      65,  65, Flutter Constraint Box Explained: How do I Use ConstraintBox in Flutter? - Complete Tutorial  , https://www.youtube.com/watch?v=0LoqMKE5Kz8, Misc / Other                 ,       12, Optional / Skip
      66,  66, Switching One Screen to Another Screen Flutter - Flutter Tutorial                             , https://www.youtube.com/watch?v=1YxHlJyjQWM, Misc / Other                 ,       12, Optional / Skip
      67,  67, Create a Splash Screen in Flutter | Complete Tutorial🔥                                       , https://www.youtube.com/watch?v=GCRmDHhTodE, Misc / Other                 ,       12, Optional / Skip
      68,  68, Passing Data From One to Another Screen - Flutter Tutorial                                    , https://www.youtube.com/watch?v=CqYF5-tuHvY, Misc / Other                 ,       12, Optional / Skip
      70,  70, How to Build BMI APP in Flutter | BMI Calculator Tutorial 🔥                                  , https://www.youtube.com/watch?v=OwFMEhZbe_4, Misc / Other                 ,       12, Optional / Skip
      76,  76, Flutter ClipRRect Widgets Kya Hai? | Complete Tutorial                                        , https://www.youtube.com/watch?v=v1PdkGW1CmA, Misc / Other                 ,       12, Optional / Skip
      77,  77, What is Gradient & How to Add It to App Background? | Flutter Tutorial 🔥                     , https://www.youtube.com/watch?v=DukXpmkEHb4, Misc / Other                 ,       12, Optional / Skip
      81,  81, How to Store and Retrieve Data Using Shared Preference in Flutter Application? - Full Tutorial, https://www.youtube.com/watch?v=hiZcVbyukBo, Misc / Other                 ,       12, Optional / Skip
      82,  82, Flutter Shared Preferences Login Tutorial 🔒                                                  , https://www.youtube.com/watch?v=jljwoxLOuSA, Misc / Other                 ,       12, Optional / Skip
      83,  83, How to Create a Complete App on Your Mobile Without a Computer: Full Guide                    , https://www.youtube.com/watch?v=glr_5OOH6HQ, Misc / Other                 ,       12, Optional / Skip
      86,  86, Build TODO App Without Coding Using AI (Flutter + Gemini AI)                                  , https://www.youtube.com/watch?v=IuDgubGTDug, Misc / Other                 ,       12, Optional / Skip
      18,  18, Learn DART for Flutter | What is Dart Programming? | Dart Programming Language                , https://www.youtube.com/watch?v=fnpD5NCzIIo, Dart (skip — already learned),       99, Skip (Dart basics - you already learned), True
      19,  19, Dart Tutorial: How to Create the First Dart Program?                                          , https://www.youtube.com/watch?v=jEylGBflNCs, Dart (skip — already learned),       99, Skip (Dart basics - you already learned), True
      20,  20, Flutter Tutorial: Dart Class and Objects Kya Hai?                                             , https://www.youtube.com/watch?v=iffK7bIFkG8, Dart (skip — already learned),       99, Skip (Dart basics - you already learned), True
      21,  21, Dart Data Types and Variables - Complete Explanation | Flutter Tutorial                       , https://www.youtube.com/watch?v=ndchTCcp_Tc, Dart (skip — already learned),       99, Skip (Dart basics - you already learned), True
      22,  22, Dart Var vs Dynamic - Difference | Flutter Dart Tutorial🔥                                    , https://www.youtube.com/watch?v=jPYxYxdZf1M, Dart (skip — already learned),       99, Skip (Dart basics - you already learned), True
      23,  23, What are Functions & Their Uses in Dart | Flutter Tutorial                                    , https://www.youtube.com/watch?v=Afpq1r5G4sc, Dart (skip — already learned),       99, Skip (Dart basics - you already learned), True
      24,  24, List in Dart Concept Tutorial for Beginners (Hindi) | Flutter🔥                               , https://www.youtube.com/watch?v=eqFGKEoY1zA, Dart (skip — already learned),       99, Skip (Dart basics - you already learned), True
      25,  25, Flutter Dart: Maps and HashMaps in Dart Programming                                           , https://www.youtube.com/watch?v=4e5tqRXGYQc, Dart (skip — already learned),       99, Skip (Dart basics - you already learned), True
      26,  26, Final vs Const Keywords - Difference and How to Use? | Flutter Dart Tutorial                  , https://www.youtube.com/watch?v=gnfyM0xUNNA, Dart (skip — already learned),       99, Skip (Dart basics - you already learned), True
      27,  27, What is Conditional Programming (Hindi)-Flutter Dart Programming                              , https://www.youtube.com/watch?v=K8jQrljrL3M, Dart (skip — already learned),       99, Skip (Dart basics - you already learned), True
      28,  28, Dart Loops Kya Hai and How it Works? | Flutter Dart Tutorial                                  , https://www.youtube.com/watch?v=nUGXH5p7-P0, Dart (skip — already learned),       99, Skip (Dart basics - you already learned), True
      
